Country,Location,Accomodation,Room Price (Usd),Scheduled Month,Star Rating,Written Review
Indonesia,Uluwatu,Hidden Lodge,$243.74 ,June,5,Friendly staff but the wifi was slow.
Thailand,Chiang Mai,Secret Inn,$160.75 ,September,2,Perfect for a family vacation. Kids loved the pool ??.
Malaysia,Malacca,Cozy Resort,$327.56 ,November,5,Excellent service and amenities. 5 stars! ?
Vietnam,Hoi An,Turtle Inn,$278.30 ,September,1,"Great stay, very relaxing. ?? Staff was friendly."
Indonesia,Jakarta,Turtle Suites,$377.13 ,January,2,Excellent service and amenities. 5 stars! ?
Malaysia,Kuala Lumpur,Ocean Hostel,$379.15 ,August,4,Quiet and peaceful atmosphere. Will come back again.
Vietnam,Hanoi,Grand Suites,$245.72 ,August,1,Stunning sunset views from the balcony ??.
Malaysia,Kota Kinabalu,Hidden Villa,$260.35 ,May,2,"Not what I expected, but okay for the price."
Thailand,Chiang Mai,Royal Hotel,$283.30 ,July,3,Quiet and peaceful atmosphere. Will come back again.
Philippines,Siargao,Ocean Hostel,$301.19 ,July,4,Friendly staff but the wifi was slow.
Indonesia,Uluwatu,Royal Hostel,$43.58 ,August,2,Stunning sunset views from the balcony ??.
Vietnam,Nha Trang,Turtle Lodge,$288.56 ,November,3,Perfect for a family vacation. Kids loved the pool ??.
Philippines,Manila,Mountain Hotel,$342.61 ,October,1,Beautiful vibe with island charm ???. Housekeeping was on point.
Malaysia,Kuala Lumpur,Sunset Villa,$35.50 ,January,4,Beautiful vibe with island charm ???. Housekeeping was on point.
Philippines,Manila,Mountain Bungalow,$159.03 ,March,3,"Great stay, very relaxing. ?? Staff was friendly."
Philippines,Cebu,Mountain Inn,$117.15 ,December,5,A bit noisy at night but otherwise great.
Thailand,Chiang Mai,Paradise Bungalow,$314.27 ,June,1,Absolutely magical experience! ?
Vietnam,Hoi An,Royal Resort,$67.73 ,February,1,Absolutely magical experience! ?
Indonesia,Uluwatu,Cozy Suites,$116.46 ,March,3,Stunning sunset views from the balcony ??.
Philippines,Cebu,Golden Bungalow,$397.72 ,September,2,Excellent service and amenities. 5 stars! ?
Indonesia,Jakarta,Grand Bungalow,$394.89 ,August,2,A bit noisy at night but otherwise great.
Thailand,Bangkok,Royal Inn,$160.63 ,March,5,"Great stay, very relaxing. ?? Staff was friendly."
Indonesia,Uluwatu,Cozy Hotel,$160.56 ,June,4,Absolutely magical experience! ?
Thailand,Chiang Mai,Grand Inn,$236.85 ,January,3,Good value for money. nice breakfast.
Thailand,Phuket,Ocean Villa,$121.71 ,February,4,Perfect for a family vacation. Kids loved the pool ??.
Thailand,Bangkok,Paradise Hotel,$89.78 ,August,3,Quiet and peaceful atmosphere. Will come back again.
Malaysia,Langkawi,Grand Hotel,$116.45 ,October,4,Beautiful vibe with island charm ???. Housekeeping was on point.
Thailand,Bangkok,Cozy Lodge,$153.25 ,November,3,Quiet and peaceful atmosphere. Will come back again.
Malaysia,Malacca,Ocean Suites,$144.90 ,October,5,"Not what I expected, but okay for the price."
Thailand,Krabi,Golden Suites,$76.15 ,February,4,"Not what I expected, but okay for the price."
Philippines,Palawan,Golden Villa,$113.39 ,June,4,Good value for money. nice breakfast.
Vietnam,Da Nang,Secret Villa,$227.04 ,May,5,Amazing views and delicious food! ?? Highly recommended.
Malaysia,Kuala Lumpur,Secret Inn,$253.59 ,January,2,Absolutely magical experience! ?
Philippines,Palawan,Royal Hotel,$284.31 ,December,2,A bit noisy at night but otherwise great.
Thailand,Bangkok,Cozy Resort,$178.29 ,May,2,Absolutely magical experience! ?
Thailand,Phuket,Royal Inn,$171.85 ,March,5,Absolutely magical experience! ?
Vietnam,Da Nang,Grand Bungalow,$290.08 ,December,5,Excellent service and amenities. 5 stars! ?
Malaysia,Kuala Lumpur,Hidden Resort,$105.67 ,November,3,A bit noisy at night but otherwise great.
Malaysia,Kuala Lumpur,Cozy Inn,$198.74 ,December,3,Perfect for a family vacation. Kids loved the pool ??.
Vietnam,Hoi An,Sunset Suites,$81.69 ,September,1,Excellent service and amenities. 5 stars! ?
Malaysia,Penang,Secret Bungalow,$359.20 ,October,4,Friendly staff but the wifi was slow.
Thailand,Krabi,Grand Hostel,$277.17 ,May,4,Friendly staff but the wifi was slow.
Malaysia,Kota Kinabalu,Hidden Suites,$336.20 ,November,3,Friendly staff but the wifi was slow.
Philippines,Boracay,Paradise Hotel,$42.25 ,March,3,Good value for money. nice breakfast.
Vietnam,Hanoi,Blue Hotel,$75.55 ,March,4,Stunning sunset views from the balcony ??.
Philippines,Siargao,Turtle Hotel,$340.92 ,October,3,Stunning sunset views from the balcony ??.
Thailand,Phuket,Royal Resort,$323.76 ,April,1,"Not what I expected, but okay for the price."
Malaysia,Penang,Turtle Suites,$221.52 ,December,3,"Not what I expected, but okay for the price."
Vietnam,Da Nang,Mountain Inn,$51.56 ,February,4,Stunning sunset views from the balcony ??.
Thailand,Krabi,Cozy Villa,$64.35 ,October,5,Beautiful vibe with island charm ???. Housekeeping was on point.
Vietnam,Hanoi,Paradise Suites,$82.93 ,March,4,Beautiful vibe with island charm ???. Housekeeping was on point.
Indonesia,Lombok,Palm Inn,$351.15 ,July,2,Good value for money. nice breakfast.
Malaysia,Malacca,Blue Bungalow,$368.06 ,May,3,Perfect for a family vacation. Kids loved the pool ??.
Thailand,Koh Samui,Cozy Hotel,$272.11 ,June,4,Perfect for a family vacation. Kids loved the pool ??.
Malaysia,Kota Kinabalu,Royal Resort,$218.03 ,February,1,Good value for money. nice breakfast.
Vietnam,Nha Trang,Blue Suites,$87.75 ,January,2,Perfect for a family vacation. Kids loved the pool ??.
Malaysia,Kuala Lumpur,Hidden Bungalow,$147.93 ,March,5,Room was clean but a bit small. Good location though.
Malaysia,Penang,Mountain Inn,$267.59 ,December,5,Stunning sunset views from the balcony ??.
Thailand,Krabi,Secret Villa,$377.03 ,January,3,"Not what I expected, but okay for the price."
Malaysia,Kuala Lumpur,Sunset Inn,$355.16 ,November,1,"Not what I expected, but okay for the price."
Malaysia,Langkawi,Mountain Lodge,$358.06 ,May,3,Absolutely magical experience! ?
Indonesia,Lombok,Mountain Hostel,$360.35 ,March,1,Good value for money. nice breakfast.
Philippines,Cebu,Cozy Suites,$110.46 ,March,3,Room was clean but a bit small. Good location though.
Vietnam,Hoi An,Secret Suites,$124.75 ,February,3,"Great stay, very relaxing. ?? Staff was friendly."
Philippines,Manila,Ocean Hostel,$334.41 ,June,3,Beautiful vibe with island charm ???. Housekeeping was on point.
Indonesia,Bali,Paradise Inn,$372.56 ,January,1,Beautiful vibe with island charm ???. Housekeeping was on point.
Indonesia,Uluwatu,Royal Resort,$363.99 ,October,3,Amazing views and delicious food! ?? Highly recommended.
Philippines,Manila,Secret Lodge,$200.90 ,February,4,Room was clean but a bit small. Good location though.
Thailand,Krabi,Turtle Villa,$387.42 ,November,2,"Great stay, very relaxing. ?? Staff was friendly."
Malaysia,Kota Kinabalu,Turtle Hotel,$188.54 ,December,2,Absolutely magical experience! ?
Indonesia,Lombok,Sunset Hostel,$132.32 ,December,2,Amazing views and delicious food! ?? Highly recommended.
Vietnam,Da Nang,Sunset Lodge,$133.33 ,April,2,Absolutely magical experience! ?
Philippines,Cebu,Blue Resort,$101.86 ,June,3,"Great stay, very relaxing. ?? Staff was friendly."
Thailand,Krabi,Blue Suites,$150.26 ,January,4,Room was clean but a bit small. Good location though.
Thailand,Phuket,Mountain Lodge,$79.60 ,November,5,"Not what I expected, but okay for the price."
Thailand,Koh Samui,Ocean Inn,$361.29 ,April,4,Room was clean but a bit small. Good location though.
Indonesia,Nusa Penida,Mountain Lodge,$137.18 ,October,2,Good value for money. nice breakfast.
Philippines,Boracay,Ocean Villa,$392.25 ,October,1,Beautiful vibe with island charm ???. Housekeeping was on point.
Malaysia,Langkawi,Mountain Resort,$382.01 ,January,5,Room was clean but a bit small. Good location though.
Philippines,Boracay,Palm Suites,$194.10 ,December,3,"Not what I expected, but okay for the price."
Philippines,Siargao,Secret Bungalow,$336.03 ,February,3,Beautiful vibe with island charm ???. Housekeeping was on point.
Malaysia,Penang,Secret Inn,$125.16 ,February,3,Amazing views and delicious food! ?? Highly recommended.
